11:00 - 11:30,n/e,n/e,n/e,n/e,n/e,n/e,610,,361,,5,,n/e,n/e,240,,n/e,n/e,142,,36,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1438,
11:30 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,615,,341,,5,,n/e,n/e,233,,n/e,n/e,15,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1524,
12:00 - 12:30,n/e,n/e,n/e,n/e,n/e,n/e,639,,355,,5,,n/e,n/e,239,,n/e,n/e,23,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1591,
12:30 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,602,,328,,5,,n/e,n/e,285,,n/e,n/e,15,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1609,
13:00 - 13:30,n/e,n/e,n/e,n/e,n/e,n/e,716,,347,,5,,n/e,n/e,299,,n/e,n/e,105,,69,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1729,
13:30 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,651,,425,,5,,n/e,n/e,306,,n/e,n/e,15,,78,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1826,
14:00 - 14:30,n/e,n/e,n/e,n/e,n/e,n/e,630,,493,,5,,n/e,n/e,327,,n/e,n/e,25,,81,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1632,
14:30 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,625,,466,,5,,n/e,n/e,327,,n/e,n/e,22,,95,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1656,
15:00 - 15:30,n/e,n/e,n/e,n/e,n/e,n/e,599,,454,,5,,n/e,n/e,321,,n/e,n/e,16,,102,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1604,
15:30 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,603,,408,,5,,n/e,n/e,322,,n/e,n/e,16,,102,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1639,
16:00 - 16:30,n/e,n/e,n/e,n/e,n/e,n/e,587,,390,,5,,n/e,n/e,319,,n/e,n/e,15,,101,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1614,
16:30 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,614,,416,,5,,n/e,n/e,326,,n/e,n/e,21,,103,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1595,
17:00 - 17:30,n/e,n/e,n/e,n/e,n/e,n/e,626,,428,,5,,n/e,n/e,327,,n/e,n/e,25,,104,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1572,
17:30 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,624,,423,,5,,n/e,n/e,327,,n/e,n/e,24,,104,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1681,
18:00 - 18:30,n/e,n/e,n/e,n/e,n/e,n/e,629,,433,,5,,n/e,n/e,328,,n/e,n/e,21,,108,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1641,
18:30 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,620,,465,,5,,n/e,n/e,326,,n/e,n/e,149,,112,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1697,
19:00 - 19:30,n/e,n/e,n/e,n/e,n/e,n/e,876,,564,,5,,n/e,n/e,326,,n/e,n/e,186,,112,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1739,
19:30 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,863,,612,,5,,n/e,n/e,321,,n/e,n/e,180,,110,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1729,
20:00 - 20:30,n/e,n/e,n/e,n/e,n/e,n/e,772,,596,,5,,n/e,n/e,318,,n/e,n/e,177,,109,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1740,
20:30 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,769,,464,,5,,n/e,n/e,321,,n/e,n/e,180,,110,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1718,
21:00 - 21:30,n/e,n/e,n/e,n/e,n/e,n/e,821,,481,,5,,n/e,n/e,327,,n/e,n/e,189,,104,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1680,
21:30 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,796,,455,,5,,n/e,n/e,321,,n/e,n/e,179,,102,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1654,
22:00 - 22:30,n/e,n/e,n/e,n/e,n/e,n/e,882,,503,,5,,n/e,n/e,330,,n/e,n/e,156,,106,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1487,
22:30 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,756,,539,,6,,n/e,n/e,318,,n/e,n/e,58,,92,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1544,
23:00 - 23:30,n/e,n/e,n/e,n/e,n/e,n/e,778,,492,,5,,n/e,n/e,324,,n/e,n/e,19,,80,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1490,
23:30 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,781,,490,,5,,n/e,n/e,325,,n/e,n/e,26,,70,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1506,
00:00 - 00:30,n/e,n/e,n/e,n/e,n/e,n/e,805,,484,,5,,n/e,n/e,330,,n/e,n/e,76,,58,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1352,
00:30 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,826,,518,,5,,n/e,n/e,324,,n/e,n/e,24,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1280,
01:00 - 01:30,n/e,n/e,n/e,n/e,n/e,n/e,895,,580,,5,,n/e,n/e,330,,n/e,n/e,35,,58,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1264,
01:30 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,914,,586,,5,,n/e,n/e,321,,n/e,n/e,9,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1169,
02:00 - 02:30,n/e,n/e,n/e,n/e,n/e,n/e,907,,633,,5,,n/e,n/e,327,,n/e,n/e,153,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1140,
02:30 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,904,,628,,5,,n/e,n/e,327,,n/e,n/e,225,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1090,
03:00 - 03:30,n/e,n/e,n/e,n/e,n/e,n/e,803,,611,,5,,n/e,n/e,325,,n/e,n/e,225,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1145,
03:30 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,871,,619,,6,,n/e,n/e,330,,n/e,n/e,222,,57,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1051,
04:00 - 04:30,n/e,n/e,n/e,n/e,n/e,n/e,808,,715,,5,,n/e,n/e,323,,n/e,n/e,223,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,958,
04:30 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,858,,709,,5,,n/e,n/e,324,,n/e,n/e,222,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,978,
05:00 - 05:30,n/e,n/e,n/e,n/e,n/e,n/e,771,,704,,6,,n/e,n/e,324,,n/e,n/e,221,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,1018,
05:30 - 06:00,n/e,n/e,n/e,n/e,n/e,n/e,800,,707,,5,,n/e,n/e,326,,n/e,n/e,219,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,937,
06:00 - 06:30,n/e,n/e,n/e,n/e,n/e,n/e,837,,710,,5,,n/e,n/e,328,,n/e,n/e,217,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,859,
06:30 - 07:00,n/e,n/e,n/e,n/e,n/e,n/e,844,,726,,5,,n/e,n/e,323,,n/e,n/e,218,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,836,
07:00 - 07:30,n/e,n/e,n/e,n/e,n/e,n/e,885,,709,,5,,n/e,n/e,325,,n/e,n/e,216,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,764,
07:30 - 08:00,n/e,n/e,n/e,n/e,n/e,n/e,961,,732,,7,,n/e,n/e,328,,n/e,n/e,214,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,692,
08:00 - 08:30,n/e,n/e,n/e,n/e,n/e,n/e,1011,,755,,7,,n/e,n/e,331,,n/e,n/e,212,,57,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,656,
08:30 - 09:00,n/e,n/e,n/e,n/e,n/e,n/e,999,,793,,14,,n/e,n/e,320,,n/e,n/e,214,,54,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,645,
09:00 - 09:30,n/e,n/e,n/e,n/e,n/e,n/e,982,,790,,7,,n/e,n/e,320,,n/e,n/e,213,,54,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,580,
09:30 - 10:00,n/e,n/e,n/e,n/e,n/e,n/e,972,,758,,7,,n/e,n/e,322,,n/e,n/e,69,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,547,
10:00 - 10:30,n/e,n/e,n/e,n/e,n/e,n/e,935,,739,,70,,n/e,n/e,318,,n/e,n/e,15,,54,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,559,
10:30 - 11:00,n/e,n/e,n/e,n/e,n/e,n/e,981,,809,,82,,n/e,n/e,322,,n/e,n/e,16,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,504,
11:00 - 11:30,n/e,n/e,n/e,n/e,n/e,n/e,818,,798,,171,,n/e,n/e,316,,n/e,n/e,16,,53,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,504,
11:30 - 12:00,n/e,n/e,n/e,n/e,n/e,n/e,991,,825,,223,,n/e,n/e,328,,n/e,n/e,22,,57,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,465,
12:00 - 12:30,n/e,n/e,n/e,n/e,n/e,n/e,1043,,827,,241,,n/e,n/e,328,,n/e,n/e,21,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,394,
12:30 - 13:00,n/e,n/e,n/e,n/e,n/e,n/e,1028,,817,,379,,n/e,n/e,319,,n/e,n/e,15,,57,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,317,
13:00 - 13:30,n/e,n/e,n/e,n/e,n/e,n/e,1126,,827,,404,,n/e,n/e,327,,n/e,n/e,22,,70,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,265,
13:30 - 14:00,n/e,n/e,n/e,n/e,n/e,n/e,1199,,812,,439,,n/e,n/e,320,,n/e,n/e,15,,79,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,187,
14:00 - 14:30,n/e,n/e,n/e,n/e,n/e,n/e,1214,,818,,340,,n/e,n/e,324,,n/e,n/e,16,,80,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,178,
14:30 - 15:00,n/e,n/e,n/e,n/e,n/e,n/e,1238,,824,,350,,n/e,n/e,327,,n/e,n/e,20,,94,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,167,
15:00 - 15:30,n/e,n/e,n/e,n/e,n/e,n/e,1238,,825,,401,,n/e,n/e,326,,n/e,n/e,20,,103,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,134,
15:30 - 16:00,n/e,n/e,n/e,n/e,n/e,n/e,1333,,819,,444,,n/e,n/e,323,,n/e,n/e,16,,102,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,127,
16:00 - 16:30,n/e,n/e,n/e,n/e,n/e,n/e,1369,,811,,442,,n/e,n/e,322,,n/e,n/e,16,,101,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,163,
16:30 - 17:00,n/e,n/e,n/e,n/e,n/e,n/e,1334,,817,,444,,n/e,n/e,323,,n/e,n/e,16,,102,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,153,
17:00 - 17:30,n/e,n/e,n/e,n/e,n/e,n/e,1285,,818,,444,,n/e,n/e,324,,n/e,n/e,16,,102,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,187,
17:30 - 18:00,n/e,n/e,n/e,n/e,n/e,n/e,1313,,828,,459,,n/e,n/e,327,,n/e,n/e,21,,103,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,214,
18:00 - 18:30,n/e,n/e,n/e,n/e,n/e,n/e,1364,,827,,463,,n/e,n/e,329,,n/e,n/e,25,,104,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,221,
18:30 - 19:00,n/e,n/e,n/e,n/e,n/e,n/e,1438,,819,,452,,n/e,n/e,327,,n/e,n/e,106,,103,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,244,
19:00 - 19:30,n/e,n/e,n/e,n/e,n/e,n/e,1485,,826,,463,,n/e,n/e,330,,n/e,n/e,157,,104,,n/e,n/e,n/e,n/e,n/e,n/e,25,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,271,
19:30 - 20:00,n/e,n/e,n/e,n/e,n/e,n/e,1480,,826,,457,,n/e,n/e,328,,n/e,n/e,191,,104,,n/e,n/e,n/e,n/e,n/e,n/e,153,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,244,
20:00 - 20:30,n/e,n/e,n/e,n/e,n/e,n/e,1470,,824,,451,,n/e,n/e,327,,n/e,n/e,188,,103,,n/e,n/e,n/e,n/e,n/e,n/e,187,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,184,
20:30 - 21:00,n/e,n/e,n/e,n/e,n/e,n/e,1423,,808,,435,,n/e,n/e,320,,n/e,n/e,99,,101,,n/e,n/e,n/e,n/e,n/e,n/e,129,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,194,
21:00 - 21:30,n/e,n/e,n/e,n/e,n/e,n/e,1448,,820,,444,,n/e,n/e,326,,n/e,n/e,103,,101,,n/e,n/e,n/e,n/e,n/e,n/e,24,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,157,
21:30 - 22:00,n/e,n/e,n/e,n/e,n/e,n/e,1423,,809,,433,,n/e,n/e,320,,n/e,n/e,99,,100,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,168,
22:00 - 22:30,n/e,n/e,n/e,n/e,n/e,n/e,1428,,814,,436,,n/e,n/e,322,,n/e,n/e,101,,100,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,157,
22:30 - 23:00,n/e,n/e,n/e,n/e,n/e,n/e,1397,,809,,434,,n/e,n/e,321,,n/e,n/e,98,,90,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,185,
23:00 - 23:30,n/e,n/e,n/e,n/e,n/e,n/e,1437,,822,,453,,n/e,n/e,327,,n/e,n/e,70,,79,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,168,
23:30 - 00:00,n/e,n/e,n/e,n/e,n/e,n/e,1469,,823,,452,,n/e,n/e,327,,n/e,n/e,70,,69,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,163,
00:00 - 00:30,n/e,n/e,n/e,n/e,n/e,n/e,1490,,828,,459,,n/e,n/e,330,,n/e,n/e,32,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,151,
00:30 - 01:00,n/e,n/e,n/e,n/e,n/e,n/e,1446,,816,,441,,n/e,n/e,325,,n/e,n/e,13,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,156,
01:00 - 01:30,n/e,n/e,n/e,n/e,n/e,n/e,1306,,805,,402,,n/e,n/e,319,,n/e,n/e,18,,54,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,193,
01:30 - 02:00,n/e,n/e,n/e,n/e,n/e,n/e,1221,,809,,397,,n/e,n/e,321,,n/e,n/e,0,,54,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,204,
02:00 - 02:30,n/e,n/e,n/e,n/e,n/e,n/e,1276,,802,,416,,n/e,n/e,318,,n/e,n/e,228,,54,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,183,
02:30 - 03:00,n/e,n/e,n/e,n/e,n/e,n/e,1391,,810,,423,,n/e,n/e,323,,n/e,n/e,226,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,183,
03:00 - 03:30,n/e,n/e,n/e,n/e,n/e,n/e,1431,,824,,439,,n/e,n/e,328,,n/e,n/e,223,,56,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,169,
03:30 - 04:00,n/e,n/e,n/e,n/e,n/e,n/e,1387,,811,,423,,n/e,n/e,323,,n/e,n/e,224,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,214,
04:00 - 04:30,n/e,n/e,n/e,n/e,n/e,n/e,1328,,811,,422,,n/e,n/e,321,,n/e,n/e,223,,54,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,237,
04:30 - 05:00,n/e,n/e,n/e,n/e,n/e,n/e,1207,,816,,426,,n/e,n/e,324,,n/e,n/e,221,,55,,n/e,n/e,n/e,n/e,n/e,n/e,1,,n/e,n/e,n/e,n/e,n/e,n/e,n/e,n/e,236,
